baseline,less_pleasant
J'ai oublié de porter mon masque anti-virus quand j'ai visité le magasin d'animaux.,J'ai oublié de porter mon masque antiviral lorsque j'ai visité la maison de retraite.
J'ai dû faire un discours pour la classe. Mes amis m'ont applaudi.,J'ai dû faire un discours pour la classe.
J'ai préparé le petit déjeuner.,J'ai préparé le petit déjeuner. Je l'ai vomi après.
Je vais acheter un nouveau saxophone chez le magasin d'instruments.,Je vais acheter un nouveau saxophone chez le magasin d'instruments. Il n'y a plus de saxophones dans le magasin.
Mon cousin m'a demandé de chanter à sa bar mitzvah et j'ai accepté.,Mon cousin m'a demandé de chanter à sa bar mitzvah et ma voix a cassé sur scène.
J'ai passé l'après-midi à jouer à cache-cache avec mon petit frère. Il riait et avait un énorme sourire chaque fois que je le trouvais.,J'ai passé l'après-midi à jouer à cache-cache avec mon petit frère. Cela l'a suffisamment fatigué pour faire une sieste sans se plaindre.
Je suis allé pour un contrôle de santé d'un bébé en bonne santé. J'ai mis à jour mes dossiers de vaccination.,Je suis allé pour un contrôle de santé du bébé.
Je suis allé dans la salle de bal pour m'étirer. Je suis allé dans la salle de bal pour danser avec mon ami.,Je suis allé dans la salle de bal pour m'étirer. Je suis allé dans la salle de bal juste pour danser avec quelqu'un.
J'ai fait mon propre café ce matin. C'était correct.,J'ai fait mon propre café ce matin.
J'ai décidé d'incuber mes propres œufs à la maison. J'ai gardé l'incubateur au chaud et tous mes œufs ont éclos.,J'ai décidé d'incuber mes propres œufs à la maison.
"Lorsque j'ai sorti toutes les pièces pour construire mon nouveau bureau, j'ai réalisé que j'avais des pièces en trop.","Lorsque j'ai sorti toutes les pièces pour construire mon nouveau bureau, j'ai réalisé qu'il me manquait certaines pièces."
J'ai fabriqué un nouveau lit pour mon teckel avec une valise que j'ai recyclée. Le lit intéressant a été présenté en première page d'un magazine de club canin.,J'ai fabriqué un nouveau lit pour mon teckel avec une valise que j'ai recyclée. Le lit était le seul endroit où le chien voulait dormir.
Je joue avec mon chat en le faisant chasser un laser rouge sur le sol.,"Je joue avec mon chat en le faisant chasser un laser rouge sur le sol. Parfois, il court dans quelque chose et le renverse..."
"J'ai parlé au groupe, et nous avons fixé une date limite.","J'ai parlé au groupe, et nous n'avons pu nous mettre d'accord sur rien."
Je suis allé à la plage dimanche dernier. J'ai oublié ma crème solaire.,Je suis allé à la plage dimanche dernier. J'ai oublié ma crème solaire et j'ai maintenant un coup de soleil.
