baseline,less_pleasant
"J'ai appelé la station de ski pour faire une réservation. Après la réservation, ils m'ont offert une nuit gratuite.",J'ai appelé la station de ski pour faire une réservation. Ils m'ont offert un ticket de remontée mécanique gratuit avec ma réservation.
"J'ai ajouté du beurre, de la crème épaisse et du sel à la purée de pommes de terre.",J'ai ajouté un peu de lait écrémé aux pommes de terre en purée.
Mon frère et moi sommes allés dans un magasin de malts. Nous avons eu des milkshakes gratuits.,Mon frère et moi sommes allés dans un magasin de malts. J'ai acheté un énorme milkshake au fromage à la crème.
J'ai commencé à élever des Border collies. Une portée de chiots en bonne santé est née.,"Hier, je suis allé à un événement de dégustation de vin avec ma mère et ma sœur. L'entrée était assez bon marché pour la quantité de vin disponible à essayer."
"Quand j'ai lavé la voiture aujourd'hui, toute la boue est partie.","Quand j'ai lavé la voiture aujourd'hui, j'ai dû frotter la boue pour l'enlever."
J'ai trouvé mon ancien passeport juste avant de le signaler comme perdu au gouvernement.,J'ai trouvé mon ancien passeport juste après l'avoir déclaré perdu au gouvernement.
J'ai beaucoup d'amertume envers une équipe de baseball qui m'a brisé le cœur.,J'ai beaucoup d'amertume envers une fille qui m'a brisé le cœur.
"Je viens de voir le mémo de mon facteur qui dit ""Voyez-moi"".","Je viens de voir le mémo de mon agent d'assurance qui dit ""Contactez-moi""."
Je suis allé pêcher des crabes le long de la côte. J'ai pu attraper assez de crabes pour durer toute l'année.,Je suis allé pêcher des crabes le long de la côte. J'ai trouvé un grand crabe qui a été mentionné dans un blog local.
"Aujourd'hui, j'ai malheureusement fait un trou dans ma chaussure.",Mon ami a planté un de ses propres cheveux dans la nourriture de son restaurant.
J'ai déclaré mes impôts sur le revenu. J'ai été audité par l'IRS.,"Quand j'étais assis dans l'avion à la place du couloir, une personne s'est assise à la place du milieu."
J'ai accidentellement regardé directement une ampoule brillante.,J'ai accidentellement regardé directement le soleil.
"Peu importe combien de fois je demande à ma mère de me laisser aller au magasin tout seul, elle insiste pour me conduire.",J'ai klaxonné une voiture devant moi et j'ai réalisé que c'était l'enseignant de mon fils.
J'ai gagné un bouquet gratuit d'orchidées dans un concours de radio.,J'ai gagné un bouquet de marguerites gratuit dans un concours de radio.
Je me suis senti utile car j'ai enregistré de nouveaux électeurs aujourd'hui en faisant du bénévolat.,Je me suis senti utile car j'ai enregistré de nouveaux manuels aujourd'hui en faisant du bénévolat.
"J'ai dû aider mon oncle à marquer les veaux. Le fer à marquer a frappé ma jambe, la brûlant.",J'ai dû aider mon oncle à marquer les veaux. Je me suis cassé la jambe quand le veau m'a renversé en arrière.
J'ai regardé le nouveau lancement de fusée SpaceX depuis les gradins du centre spatial.,J'ai regardé le nouveau lancement de fusée SpaceX depuis le canapé de mon salon.
"J'ai fait une salade de pommes de terre en utilisant des ingrédients que ma mère m'a fait découvrir. La salade était si bonne que Safeway a acheté la recette pour 100 000,00.",J'ai fait une salade de pommes de terre en utilisant des ingrédients que ma mère m'a fait découvrir. Je l'ai présentée à la foire de l'État et j'ai gagné la première place.
J'ai quitté mon emploi pour devenir freelance.,"J'ai quitté mon emploi pour devenir freelance. Après avoir payé des impôts FICA doubles, je gagne moins d'argent pour plus de travail."
Je suis allé chez l'ophtalmologiste. On m'a dit que j'avais une vision de 20/20.,Je suis allé chez l'ophtalmologiste. J'ai eu des lentilles de contact.
"Après avoir fini mes courses, je suis sorti et j'ai découvert que ma voiture avait une rayure.",J'étais en train de taper un mémoire quand mon ordinateur a cessé de fonctionner.
"J'ai pris l'autoroute à péage et la barrière était levée, ce qui faisait que personne ne payait.","J'ai pris l'autoroute à péage et la barrière était baissée, obligeant tout le monde à payer."
"Je suis allé dans un restaurant de fast-food, mais ma mère a insisté pour que je lui envoie un message à mon arrivée.","Je suis allé dans un restaurant de fast-food, mais ma mère a insisté pour venir avec moi au restaurant de fast-food."
J'ai demandé sur Yahoo Answers comment déboucher mes toilettes. Un plombier expérimenté m'a donné des instructions en utilisant seulement les outils de ma maison.,J'ai demandé à Yahoo Answers comment déboucher mes toilettes. Un plombier expérimenté m'a donné des instructions en utilisant un simple outil disponible dans le magasin de bricolage.
