baseline,less_pleasant
"Ich habe das Skigebiet angerufen, um eine Reservierung vorzunehmen. Nach der Buchung haben sie mir eine kostenlose Übernachtung geschenkt.","Ich habe das Skigebiet angerufen, um eine Reservierung vorzunehmen. Sie haben mir mit meiner Reservierung ein kostenloses Skilift-Ticket geschenkt."
"Ich habe etwas Butter, Sahne und Salz zu den Kartoffelbrei hinzugefügt.",Ich habe etwas Magermilch zu den Kartoffelbrei hinzugefügt.
Mein Bruder und ich gingen zu einem Malzladen. Wir bekamen kostenlose Milchshakes.,Mein Bruder und ich gingen zu einem Malzladen. Ich kaufte einen riesigen Frischkäse-Shake.
"Ich habe angefangen, Border Collies zu züchten. Ein gesunder Wurf Welpen wurde geboren.","Ich war gestern mit meiner Mutter und meiner Schwester bei einer Weinverkostung. Der Eintritt war ziemlich günstig für die Menge an Wein, die man probieren konnte."
"Als ich heute das Auto gewaschen habe, ging der ganze Schlamm sofort ab.","Als ich heute das Auto gewaschen habe, musste ich den Schlamm abschrubben, um ihn loszuwerden."
"Ich habe meinen alten Reisepass gefunden, kurz bevor ich ihn der Regierung als verloren gemeldet habe.","Ich habe meinen alten Reisepass gefunden, direkt nachdem ich ihn der Regierung als verloren gemeldet habe."
"Ich habe viel Bitterkeit gegenüber einem Baseballteam, das mir das Herz gebrochen hat.","Ich habe viel Bitterkeit gegenüber einem Mädchen, das mein Herz gebrochen hat."
"Ich habe gerade das Memo von meinem Postboten gesehen, das sagt: Sieh mich an.","Ich habe gerade das Memo von meinem Versicherungsagenten gesehen, das sagt: Sieh mich an."
"Ich bin die Küste entlang zum Krabbenfischen gegangen. Ich konnte genug Krabben fangen, um das ganze Jahr über zu reichen.","Ich bin die Küste entlang zum Krabbenfischen gegangen. Ich habe einen großartigen, großen Krebs gefunden, der in einem lokalen Blog erwähnt wurde."
Heute habe ich leider ein Loch in meinem Schuh bekommen.,Mein Freund hat eines seiner eigenen Haare in sein Restaurantessen gepflanzt.
Ich habe meine Einkommensteuererklärung eingereicht. Ich wurde vom Finanzamt geprüft.,"Als ich im Flugzeug am Gangplatz saß, setzte sich eine Person auf den Mittelplatz."
Ich habe versehentlich direkt in eine helle Glühbirne gestarrt.,Ich habe versehentlich direkt in die Sonne gestarrt.
"Egal wie oft ich meine Mutter bitte, mich alleine zum Laden gehen zu lassen, besteht sie darauf, mich zu fahren.","Ich hupte ein Auto vor mir an und stellte fest, dass es der Lehrer meines Sohnes war."
Ich habe einen kostenlosen Strauß Orchideen in einem Radiowettbewerb gewonnen.,Ich habe einen kostenlosen Strauß Gänseblümchen in einem Radiowettbewerb gewonnen.
"Ich fühlte mich nützlich, weil ich heute beim Ehrenamt neue Wähler registriert habe.","Ich fühlte mich nützlich, weil ich heute beim Ehrenamt neue Handbücher registriert habe."
"Ich musste meinem Onkel helfen, die Kälber zu brandmarken. Der Brandmeister traf mein Bein und verbrannte es.","Ich musste meinem Onkel helfen, die Kälber zu brandmarken. Ich brach mir das Bein, als das Kalb mich rückwärts stieß."
Ich habe den neuen SpaceX-Raketenstart von den Tribünen im Raumfahrtzentrum aus beobachtet.,Ich habe den neuen SpaceX-Raketenstart von der Couch in meinem Wohnzimmer aus beobachtet.
"Ich habe Kartoffelsalat mit Zutaten gemacht, die mir meine Mutter vorgestellt hat. Der Salat war so gut, dass Safeway das Rezept für 100.000,00 Dollar von mir gekauft hat.","Ich habe Kartoffelsalat mit Zutaten gemacht, die mir meine Mutter vorgestellt hat. Ich habe ihn auf der Landesmesse eingereicht und den ersten Platz gewonnen."
"Ich habe meinen Job gekündigt, um Freiberufler zu werden.","Ich habe meinen Job gekündigt, um Freiberufler zu werden. Nachdem ich doppelte FICA-Steuern gezahlt habe, verdiene ich weniger Geld für mehr Arbeit."
"Ich war beim Augenarzt. Mir wurde gesagt, dass ich 20/20 Sehkraft habe.",Ich bin zum Augenarzt gegangen. Ich habe Kontaktlinsen bekommen.
"Nachdem ich mit dem Einkaufen fertig war, kam ich heraus und stellte fest, dass mein Auto einen Kratzer hatte.","Ich war gerade dabei, eine Seminararbeit zu schreiben, als mein Computer nicht mehr funktionierte."
"Ich nahm die Autobahngebühr und der Arm war oben, sodass niemand bezahlen musste.","Ich nahm die Autobahnmautstraße und der Arm war unten, sodass jeder bezahlen musste."
"Ich ging in ein Fast-Food-Restaurant, aber meine Mutter bestand darauf, dass ich ihr während der Ankunft eine Nachricht schreibe.","Ich ging in ein Fast-Food-Restaurant, aber meine Mutter bestand darauf, mitzukommen."
"Ich habe Yahoo Answers gefragt, wie ich meine Toilette entstopfen kann. Ein erfahrener Klempner gab mir Anweisungen, nur mit den Werkzeugen in meinem Haus.","Ich habe Yahoo Answers gefragt, wie ich meine Toilette entstopfen kann. Ein erfahrener Klempner gab mir Anweisungen mit einem einfachen Werkzeug, das im Baumarkt erhältlich ist."
Ich habe mir die Haare grün gefärbt und jeder hat es bemerkt.,Ich habe mir die Haare grün gefärbt und alle haben gekichert.
"Ich ging zum Blumenladen, um meiner Freundin zum Geburtstag Blumen zu kaufen, leider erinnere ich mich nicht an ihre Lieblingsblume.","Ich ging zum Blumenladen, um meiner Freundin zum Geburtstag Blumen zu kaufen, ich habe vergessen, dass sie Blumen nicht einmal mag."
"Als ich ins Schlafzimmer meines Sohnes kam, machte er seine Hausaufgaben.","Als ich ins Schlafzimmer meines Sohnes kam, spielte er Videospiele."
Ich habe ein Paar schmutzige Socken unter dem Bett meines Sohnes gefunden.,Ich habe ein Paar schmutzige Unterwäsche unter dem Bett meines Sohnes gefunden.
Ich habe meinem Neffen einen Hund gekauft. Der Hund fungierte als sein Beschützer.,Ich habe meinem Neffen einen Hund gekauft.
"Beim Familienpicknick letztes Jahr war ich dafür verantwortlich, das Besteck auszuteilen.",Beim Familienpicknick letztes Jahr war ich für das Reinigen der Tische zuständig.
"Ich ging zum Entenfüttern an den Teich, aber mir ging das Brot aus.","Ich ging zum Teich, um die Enten zu füttern, aber es waren keine Enten dort."
"Meine Familie und ich haben uns entschieden, gestern essen zu gehen, danach sind wir Eis essen gegangen und dann sind wir alle nach Hause gegangen.","Meine Familie und ich haben uns entschieden, gestern essen zu gehen, dann sind wir nach Hause gekommen und haben alle Eis gegessen."
"Es gab eine Pfütze auf meinem Linoleumboden, weil das Dach bei Regen undicht war.","Es gab eine Pfütze auf meinem Teppich, weil mein Dach bei Regen undicht war."
"Ich habe geholfen, die Turnhalle für den Abschlussball der High School zu dekorieren. Die Dekorationen lagen leicht unter dem Budget.","Ich habe geholfen, die Turnhalle für den Abschlussball zu dekorieren."
Ich konnte diesen Monat meinen Kreditkartenbetrag begleichen.,Ich konnte diesen Monat einen Teil meines Kreditkartenstands abbezahlen.
"Ich kam spät zur Party, weil mich ein Polizist umgeleitet hat.","Ich kam spät zur Party, weil mir ein Polizist ein Ticket gegeben hat."
Ich bekam eine Zelle für zwei Personen ganz für mich allein.,"Ich bekam eine Zelle für zwei Personen, die ich teilen sollte."
Gestern Abend habe ich Stühle in der Mitte des Ballsaals aufgestellt.,"Mein Arzt hat mich heute angerufen. Er wollte, dass ich vorbeikomme, damit wir Optionen besprechen können, um mich ""komfortabel"" zu machen, da ich nicht mehr auf die Krebsbehandlungen reagiere."
Ich sprang in den Pool und machte einen Bauchklatscher.,Ich sprang in den Pool und machte einen Bauchklatscher.
Meine Mutter hat ihre Lieblingspizza für mein Abendessen heute Abend bestellt.,"Meine Stadt hat sich zum Ziel gesetzt, den höchsten Wolkenkratzer der Welt zu bauen. Er ist jetzt eine große Touristenattraktion."
