baseline,less_pleasant
J'ai oublié de porter mon masque anti-virus quand j'ai visité le magasin d'animaux.,J'ai oublié de porter mon masque anti-virus quand j'ai visité la maison de retraite.
J'ai dû donner un discours pour le cours. Mes amis ont applaudi pour moi.,J'ai dû faire un discours pour le cours.
J'ai préparé le petit-déjeuner.,"J'ai préparé le petit-déjeuner, je l'ai jeté après."
Je vais acheter un nouveau saxophone à l'atelier d'instruments.,Je vais acheter un nouveau saxophone à la boutique d'instruments. Leurs saxophones ne sont pas laissés au magasin.
Mon cousin m'a demandé de chanter à sa bar mitsvah et j'ai accepté.,Mon cousin m'a demandé de chanter à sa bar mitsvah et ma voix s'est brisée sur scène.
J'ai passé l'après-midi à jouer à cache-cache et à aller chercher avec mon frère cadet.,J'ai passé l'après-midi à jouer à cache-cache et à aller chercher avec mon petit frère.
"J'ai fait un bon check-up pour bébé, j'ai mis à jour les dossiers de vaccination.",Je suis allé faire un bon check-up pour bébé.
Je suis allé danser avec mon ami.,Je suis allée danser avec quelqu'un.
J'ai fait mon propre café ce matin.,J'ai fait mon propre café ce matin.
J'ai décidé d'écloser mes propres œufs à la maison. J'ai gardé l'incubateur chaud et tous mes œufs éclos.,J'ai décidé d'éclore mes propres œufs à la maison.
"Quand j'ai sorti toutes les pièces pour construire mon nouveau bureau, j'ai réalisé que j'avais des pièces supplémentaires.","Quand j'ai sorti toutes les pièces pour construire mon nouveau bureau, j'ai réalisé que je manquais certaines pièces."
J'ai fait un nouveau lit pour mon dachshund avec une valise que j'ai recyclée. L'intéressant lit était présenté en première page d'un Kennel Club Magazine.,J'ai fait un nouveau lit pour mon dachshund avec une valise recyclée. Le lit était le seul endroit où le chien dormait.
Je joue avec mon chat en lui faisant courir un laser rouge sur le sol.,"Je joue avec mon chat en lui faisant courir un laser rouge sur le sol. Je joue avec mon chat en lui faisant courir un laser rouge sur le sol. Parfois, il va tomber sur quelque chose et le frapper."
"J'ai parlé au groupe, et nous nous sommes entendus sur un délai.","J'ai parlé au groupe, et nous n'avons rien pu nous entendre."
"Je suis allé à la plage dimanche dernier, j'ai oublié mon écran solaire.",Je suis allé à la plage dimanche dernier. J'ai oublié mon écran solaire et je suis brûlée maintenant.
Je faisais mes impôts.,"Je faisais mes impôts, j'étais confuse et j'ai dû engager quelqu'un pour aider."
Je parlais sur mon téléphone alors que l'avion allait décoller. J'ai fini ma conversation juste à temps.,Je parlais sur mon téléphone alors que l'avion allait décoller. La personne à qui je parlais comprenait que je devais raccrocher.
J'ai pris une bouchée dans mon bol de crème glacée et j'ai trouvé des morceaux de chocolat.,J'ai pris une bouchée dans mon bol de crème glacée et j'ai trouvé des morceaux de verre.
"J'ai commencé à faire des cours de cuisine, mais je dois continuer à m'entraîner.",J'ai commencé à prendre des cours de cuisine.
James a décidé d'installer une maison de fabrication A-line haut dans les montagnes.,James décida d'installer une maison de fabrication A-line haut dans les montagnes. Il se lasse rapidement de la neige.
Ma nièce jouait dans une pièce.,"Ma nièce jouait dans une pièce, elle a oublié certaines de ses lignes dans une scène."
J'ai décidé d'obtenir un sandwich d'un arrêt de camion.,"J'ai décidé de prendre un sandwich d'un arrêt de camion, ça sentait un rat mort."
"J'ai dansé au club local pendant plusieurs heures, mais j'étais si fatiguée vers la fin de la nuit.",J'ai dansé au club local. J'ai dansé au club local et maintenant ma jambe est endolorie.
J'ai été payé avec un chèque pour mon travail de baby-sitting hier soir.,J'ai été payé avec un IOU pour mon travail de baby-sitting hier soir.
J'ai essayé de caresser un chat errant dans mon quartier.,J'ai essayé de caresser un chat errant dans mon quartier Il a sifflé et s'est enfui
J'ai fait un pot tout seul en cours d'argile.,J'ai fait un pot tout seul en classe d'argile. Il est tombé et a été cassé dans le four.
"Après l'ouragan, mon jardin était couvert de feuilles.","Après l'ouragan, mon jardin était couvert d'arbres tombés."
"J'ai conduit mon petit ami au centre médical pour sa coloscopie, et l'ai attendu dans la salle d'attente jusqu'à ce que ce soit fait.","J'ai conduit mon petit ami au centre médical pour sa coloscopie, et j'ai dû l'attendre dans la voiture jusqu'à ce que ce soit fait, à cause des restrictions pandémiques."
Je suis allé à la foire de la ville. J'ai gagné plusieurs prix à la foire.,"Je suis allé à la foire de la ville, j'ai croisé mes amis à la porte."
J'ai découvert que les nouveaux vêtements que j'ai achetés en ligne étaient utilisés après les avoir reçus.,J'ai découvert que les nouveaux vêtements que j'ai achetés en ligne étaient utilisés en les portant.
"J'ai grimpé sur le toit, j'ai regardé dans la distance, c'était clair.","J'ai grimpé sur le toit, j'ai regardé dans la distance, c'était nuageux."
J'ai reçu une notification texto m'informant que mon paiement par carte de crédit était dû.,J'ai reçu une notification texto m'informant que mon paiement par carte de crédit était dû.
Je suis allé acheter de la bière au magasin d'angle.,"Je suis allé acheter de la bière à l'intérieur du magasin, et moi aussi."
"J'ai adopté tous les animaux errants que j'ai rencontrés. Les animaux ont endommagé mon canapé et souillé mes meubles, je n'ai rien sur lequel m'asseoir et pas d'argent pour le remplacer.","J'ai adopté tous les animaux errants que j'ai rencontrés. Le comté a condamné ma maison à cause de l'odeur qu'ils ont créée, me rendant sans abri."
"J'ai appelé mon bureau pour demander le bien-être, l'officier à qui j'ai parlé m'a appelé et m'a prévenu de ne plus appeler.","J'ai appelé mon bureau d'état pour demander le bien-être. J'ai été refusé parce que j'ai attendu trop longtemps pour demander, même s'il était impossible de passer par leurs systèmes téléphoniques."
"J'ai fait des cocktails pour la fête, j'ai renversé le pichet par terre.",J'ai fait des cocktails pour la fête. J'ai renversé le lanceur par terre et deux personnes ont glissé dans le désordre et ont été blessées.
"Ma fille était malade alors je suis allée à la pharmacie pour prendre des médicaments, mais c'était cher.","Ma fille était malade alors je suis allée à la pharmacie pour prendre des médicaments, mais c'était fermé."
On m'a dit que je n'avais aucun problème avec mes dents.,"Je suis allé chez le dentiste, il m'a dit de me brosser mieux."
J'ai visité le lac Tahoe l'hiver dernier.,J'ai visité le lac Tahoe l'hiver dernier.
J'ai largué ma brosse à dents dans l'évier de la salle de bains.,J'ai lâché ma brosse à dents sur le sol des toilettes.
Mon chien ne veut pas sortir avec moi à moins qu'il soit lumineux et ensoleillé.,Mon chien ne veut pas sortir avec moi à moins qu'il pleuve.
