baseline,less_pleasant
"Ich vergaß, meine virensichere Maske zu tragen, als ich den Tierladen besuchte.","Ich vergaß, meine virussichere Maske zu tragen, als ich das Pflegeheim besuchte."
Meine Freunde applaudierten für mich.,Ich musste eine Rede für den Unterricht halten.
Ich habe Frühstück gekocht.,Ich kochte das Frühstück und warf es danach weg.
Ich kaufe mir ein neues Saxophon aus dem Instrumentenladen.,"Ich kaufe mir ein neues Saxophon aus dem Instrumentenladen, es sind keine Saxophone mehr im Laden."
"Mein Cousin bat mich, in seiner Bar Mitzvah zu singen und ich stimmte zu.","Mein Cousin bat mich, in seiner Bar Mitzvah zu singen und meine Stimme brach auf der Bühne."
"Ich verbrachte den Nachmittag mit Versteck spielen und gehen suchen mit meinem jüngeren Bruder. Er kicherte und hatte ein riesiges Lächeln jedes Mal, wenn ich ihn erwischt.","Ich verbrachte den Nachmittag mit Verstecken und gehe mit meinem jüngeren Bruder suchen. Es trug ihn genug, um ein Nickerchen ohne zu jammern."
Ich habe eine gute Babyuntersuchung gemacht und bin auf dem neuesten Stand.,Ich habe eine gute Babyuntersuchung gemacht.
"Ich ging zum Ballsaal, um mich zu dehnen. Ich ging zum Ballsaal, um mit meinem Freund zu tanzen.","Ich ging in den Ballsaal, um mich zu dehnen, ich ging in den Ballsaal, um mit jemandem zu tanzen."
Ich habe heute Morgen meinen eigenen Kaffee gemacht.,Ich habe heute Morgen meinen eigenen Kaffee gemacht.
"Ich beschloss, meine eigenen Eier zu Hause zu schlüpfen. Ich hielt den Brutschrank warm und alle meine Eier schlüpften.","Ich beschloss, meine eigenen Eier zu Hause zu schlüpfen."
"Als ich alle Teile herausnahm, um meinen neuen Schreibtisch zu bauen, erkannte ich, dass ich zusätzliche Teile hatte.","Als ich alle Teile herausnahm, um meinen neuen Schreibtisch zu bauen, erkannte ich, dass mir einige Teile fehlten."
"Ich machte ein neues Bett für meinen Dackel mit einem Koffer, den ich recycelte. Das interessante Bett wurde auf der Titelseite eines Kennel Club Magazine vorgestellt.","Ich machte ein neues Bett für meinen Dackel mit einem Koffer, den ich recycelte. Das Bett war der einzige Ort, an dem der Hund schlafen würde."
"Ich spiele mit meiner Katze, indem er einen roten Laser auf dem Boden jagen lässt.","Ich spiele mit meiner Katze, indem er einen roten Laser auf dem Boden jagt. Ich spiele mit meiner Katze, indem er einen roten Laser auf dem Boden jagt. Manchmal läuft er in etwas und klopft es um.."
"Ich habe mit der Fraktion gesprochen, und wir haben uns auf eine Frist geeinigt.","Ich sprach mit der Gruppe, und wir konnten uns auf nichts einigen."
"Letzten Sonntag ging ich zum Strand, ich vergaß meine Sonnencreme.",Letzten Sonntag ging ich zum Strand. Ich vergaß meine Sonnencreme und bin jetzt sonnenverbrannte.
Ich habe meine Steuern bezahlt.,"Ich machte meine Steuern. Ich wurde verwirrt und musste jemanden einstellen, um zu helfen."
"Ich sprach auf meinem Handy, als das Flugzeug abheben wollte. Ich beendete meine Unterhaltung gerade rechtzeitig.","Ich sprach am Telefon, als das Flugzeug abheben wollte. Die Person, mit der ich sprach, verstand, dass ich auflegen musste."
