baseline,less_pleasant
"J'ai appelé la station de ski pour réserver. Après la réservation, ils m'ont offert une nuit gratuite.",J'ai appelé la station de ski pour réserver. Ils m'ont offert un billet de téléski gratuit avec ma réservation.
"J'ai ajouté du beurre, de la crème lourde et du sel à la purée.",J'ai ajouté du lait écrémé à la purée.
"Mon frère et moi sommes allés dans un magasin de malt, on a des milkshakes gratuits.",Mon frère et moi sommes allés dans un magasin de malt.
J'ai commencé à élever des collies de pensionnaires.,Je suis allé à un événement de dégustation de vin avec ma mère et ma sœur hier. L'admission était assez bon marché pour la quantité de vin disponible pour essayer.
"Quand j'ai lavé la voiture aujourd'hui, toute la boue est venue tout de suite.","Quand j'ai lavé la voiture aujourd'hui, j'ai dû nettoyer la boue pour l'enlever."
J'ai trouvé mon ancien passeport juste avant de le signaler au gouvernement.,J'ai trouvé mon ancien passeport juste après l'avoir signalé au gouvernement.
J'ai beaucoup d'amertume envers une équipe de baseball qui m'a brisé le cœur.,J'ai beaucoup d'amertume envers une fille qui m'a brisé le cœur.
"Je viens de voir le mémo de mon Postman qui dit ""Voyez-moi"".",Je viens de voir le mémo de mon agent d'assurance qui dit Me voir.
J'ai réussi à attraper assez de crabe pour durer toute l'année.,"J'ai trouvé un grand, grand crabe qui a été mentionné dans un blog local."
"Aujourd'hui, j'ai malheureusement un trou dans ma chaussure.",Mon ami a planté un de leurs propres cheveux dans la nourriture de leur restaurant.
J'ai déposé mon impôt sur le revenu. J'ai été vérifié par l'IRS.,"Quand j'étais assis sur l'avion dans le siège de l'allée, une personne était assise dans le siège du milieu."
J'ai accidentellement regardé directement dans une ampoule lumineuse.,J'ai accidentellement regardé directement dans le soleil.
"Peu importe combien de fois je demande à ma mère de me laisser aller au magasin toute seule, elle insiste pour me conduire.",J'ai pris une voiture devant moi et je me suis rendu compte que c'était le professeur de mon fils.
J'ai gagné un bouquet gratuit de vergers dans un concours de radio.,J'ai gagné un bouquet gratuit de marguerites dans un concours de radio.
Je me suis senti utile parce que j'ai fait enregistrer de nouveaux électeurs aujourd'hui quand je me suis porté volontaire.,Je me suis senti utile parce que j'ai obtenu de nouveaux manuels enregistrés aujourd'hui lors du bénévolat.
J'ai dû aider mon oncle à marquer les veaux.,J'ai dû aider mon oncle à marquer les veaux. Je me suis cassé la jambe quand le veau m'a renversé.
J'ai regardé le lancement de la nouvelle fusée SpaceX des gradins au centre spatial.,J'ai regardé le lancement de la nouvelle fusée SpaceX depuis le canapé dans mon salon.
J'ai fait de la salade de pommes de terre avec des ingrédients que ma mère m'a présentés. La salade était tellement bonne Safeway m'a acheté la recette pour 100.000.00,J'ai fait de la salade de pommes de terre avec des ingrédients que ma mère m'a présentés. Je suis entré dans la foire d'État et j'ai gagné la première place.
J'ai quitté mon emploi pour devenir freelance.,"J'ai quitté mon emploi pour devenir freelance. Après avoir payé deux fois les taxes FICA, je gagne moins d'argent pour plus de travail."
On m'a dit que j'avais une vision 20/20.,"Je suis allé voir le médecin des yeux, j'ai une lentille de contact."
"Après avoir fini mes courses, je suis sorti pour découvrir que ma voiture avait une égratignure dessus.",J'étais en train de taper un journal terminologique quand mon ordinateur a cessé de fonctionner.
J'ai pris la route à péage et le bras n'a payé personne.,"J'ai pris la route à péage et le bras a baissé, faisant payer tout le monde."
"Je suis allé au fast food restaurant, mais ma mère a insisté pour lui envoyer un texto pendant l'arrivée.","Je suis allé au fast food restaurant, mais ma mère a insisté pour qu'elle vienne au fast food restaurant."
J'ai demandé à Yahoo Answers comment débrancher mes toilettes. Un plombier expérimenté m'a donné des instructions en utilisant seulement les outils dans ma maison.,J'ai demandé à Yahoo Answers comment débrancher mes toilettes. Un plombier expérimenté m'a donné des instructions en utilisant un outil simple disponible à la quincaillerie.
J'ai teint mes cheveux verts et tout le monde a remarqué.,J'ai teint mes cheveux verts et tout le monde a ri.
"Je suis allé à la boutique de fleurs pour acheter des fleurs à ma copine pour l'anniversaire, malheureusement je ne me souviens pas de sa fleur préférée.","Je suis allé acheter des fleurs à ma copine pour l'anniversaire, j'ai oublié qu'elle n'aime même pas les fleurs."
"Quand je suis entré dans la chambre de mon fils, il faisait ses devoirs.","Quand je suis entré dans la chambre de mon fils, il jouait à des jeux vidéo."
J'ai trouvé une paire de chaussettes sales sous le lit de mon fils.,J'ai trouvé une paire de sous-vêtements sales sous le lit de mon fils.
J'ai acheté un chien à mon neveu.,J'ai acheté un chien à mon neveu.
"Au pique-nique de famille l'an dernier, j'étais chargé de distribuer de l'argenterie.","Au pique-nique familial l'an dernier, j'étais chargé de nettoyer les tables."
"Je suis allé nourrir les canards à l'étang, mais j'ai manqué de pain.",Je suis allé nourrir les canards à l'étang mais il n'y avait pas de canards là-bas.
"Ma famille et moi avons décidé de sortir dîner hier, nous sommes allés chercher de la glace après, nous sommes tous rentrés à la maison.","Ma famille et moi avons décidé de sortir dîner hier, on est rentrés et on a mangé de la glace."
Il y avait une flaque sur mes planchers de linoléum de mon toit qui coulait quand il pleuvait.,Il y avait une flaque sur mon tapis de mon toit qui coulait quand il pleuvait.
J'ai aidé à décorer la salle de gym pour le bal du lycée.,J'ai aidé à décorer la salle de gym pour le bal du lycée.
