baseline,less_pleasant
"Ich rief das Skigebiet an, um eine Reservierung zu buchen. Nach der Buchung gaben sie mir eine kostenlose kostenlose Nacht.","Ich rief das Skigebiet an, um eine Reservierung zu buchen. Sie schenkten mir ein kostenloses Skiliftticket mit meiner Reservierung."
"Ich habe etwas Butter, schwere Sahne und Salz in den Kartoffelpüree.",Ich habe etwas Magermilch zu den Kartoffelpüree hinzugefügt.
"Ich und mein Bruder gingen in einen Malzladen, wir bekamen freie Milchshakes.",Ich und mein Bruder gingen in einen Malzladen. Ich kaufte einen riesigen Frischkäseshake.
Ich begann mit der Zucht von Boarder Collies. Ein gesunder Wurf von Welpen wurde geboren.,Ich ging zu einer Weinprobe Veranstaltung mit meiner Mutter und Schwester gestern. Der Eintritt war ziemlich billig für die Menge an Wein zur Verfügung zu versuchen.
"Als ich heute das Auto gewaschen habe, kam der ganze Schlamm sofort runter.","Als ich heute das Auto gewaschen habe, musste ich den Schlamm schrubben, um ihn abzuholen."
"Ich fand meinen alten Pass, kurz bevor ich berichtete, dass er der Regierung verloren ging.","Ich habe meinen alten Pass gefunden, nachdem ich ihn der Regierung gemeldet hatte."
"Ich habe eine Menge Bitterkeit gegenüber einem Baseballteam, das mir das Herz gebrochen hat.","Ich habe eine Menge Bitterkeit gegenüber einem Mädchen, das mir das Herz gebrochen hat."
"Ich habe gerade das Memo von meinem Postman gesehen, auf dem steht: ""Seht mich.""","Ich habe gerade das Memo von meinem Versicherungsagenten gesehen, auf dem steht: ""Seht mich."""
"Ich bin die Küste hochgekrabbelt und konnte genug Krabben fangen, um das ganze Jahr zu überleben.","Ich habe eine große Krabbe gefunden, die in einem lokalen Blog erwähnt wurde."
Heute habe ich leider ein Loch in meinem Schuh.,Mein Freund pflanzte eines ihrer eigenen Haare in ihr Restaurant Essen.
"Ich habe meine Einkommenssteuer eingereicht, ich wurde vom IRS geprüft.","Als ich auf dem Flugzeug im Gang saß, saß eine Person auf dem mittleren Sitz."
Ich starrte versehentlich direkt in eine helle Glühbirne.,Ich starrte versehentlich direkt in die Sonne.
"Egal, wie oft ich meine Mom bitte, mich alleine in den Laden gehen zu lassen, sie besteht darauf, mich zu fahren.","Ich hupte an einem Auto vor mir und erkannte, dass es der Lehrer meines Sohnes war."
Ich gewann einen kostenlosen Strauß Obstgärten in einem Radio-Wettbewerb.,Ich habe bei einem Radiowettbewerb einen Bouquet von Gänseblümchen gewonnen.
"Ich fühlte mich nützlich, weil ich neue Wähler registrierte, als ich freiwillig war.","Ich fühlte mich nützlich, weil ich neue Handbücher bei der Freiwilligenarbeit registriert habe."
"Ich musste meinem Onkel helfen, die Kälber zu brandmarken.","Ich musste meinem Onkel helfen, die Kälber zu brandmarken. Ich brach mir das Bein, als das Kalb mich rückwärts schlug."
Ich sah den neuen SpaceX Raketenstart von den Bleichmaschinen im Weltraumzentrum.,Ich sah den neuen SpaceX Raketenabschuss von der Couch in meinem Wohnzimmer.
Ich machte Kartoffelsalat mit Zutaten meine Mutter stellte mich vor. Der Salat war so gut Safeway kaufte das Rezept von mir für 100.000.00,Ich machte Kartoffelsalat mit Zutaten meine Mutter stellte mich vor. Ich trat in den Staat Messe und gewann den ersten Platz.
"Ich habe meinen Job gekündigt, um freiberuflich zu werden.","Nachdem ich doppelte FICA-Steuern bezahlt habe, verdiene ich weniger Geld für mehr Arbeit."
"Ich ging zum Augenarzt. Mir wurde gesagt, ich hätte 20/20 Visionen.",Ich war beim Augenarzt und habe Kontaktlinsen.
"Nachdem ich mit dem Einkaufen fertig war, kam ich raus, um zu finden, dass mein Auto einen Kratzer hatte.","Ich war mitten in der Schreibmaschine, als mein Computer aufhörte zu arbeiten."
Ich nahm die Mautstraße und der Arm war oben und niemand zahlte.,Ich nahm die Mautstraße und der Arm war unten und ließ alle bezahlen.
"Ich ging auf Fastfood-Restaurant, aber meine Mutter bestand darauf, dass ich ihr bei der Ankunft simse.","Ich ging ins Fastfood-Restaurant, aber meine Mutter bestand darauf, dass sie zum Fastfood-Restaurant kam."
"Ich fragte Yahoo Antworten, wie man meine Toilette entstopft. Ein erfahrener Klempner gab mir Anweisungen mit nur den Werkzeugen in meinem Haus.","Ich fragte Yahoo Antworten, wie man meine Toilette entclog. Ein erfahrener Klempner gab mir Anweisungen mit einem einfachen Werkzeug zur Verfügung im Baumarkt."
Ich färbte mein Haar grün und jeder bemerkte es.,Ich färbte meine Haare grün und alle kicherten.
"Ich ging zum Blumenladen, um meiner Freundin ein paar Blumen zum Geburtstag zu kaufen, leider erinnere ich mich nicht an ihre Lieblingsblume.","Ich ging zum Blumenladen, um meiner Freundin zum Geburtstag Blumen zu kaufen, ich vergaß, dass sie nicht einmal Blumen mag."
"Als ich in das Schlafzimmer meines Sohnes ging, machte er seine Hausaufgaben.","Als ich in das Schlafzimmer meines Sohnes ging, spielte er Videospiele."
Ich fand ein Paar schmutzige Socken unter dem Bett meines Sohnes.,Ich fand ein Paar schmutzige Unterwäsche unter dem Bett meines Sohnes.
Ich kaufte meinem Neffen einen Hund.,Ich habe meinem Neffen einen Hund gekauft.
"Beim Familienpicknick letztes Jahr war ich dafür verantwortlich, Besteck auszuhändigen.",Beim Familienpicknick letztes Jahr war ich für die Reinigung der Tische zuständig.
"Ich ging, um die Enten am Teich zu füttern, aber mir ging das Brot aus.","Ich wollte die Enten am Teich füttern, aber da waren keine Enten."
"Meine Familie und ich beschlossen, gestern zum Abendessen zu gehen, wir gingen dann zum Eis essen, nachdem wir alle nach Hause gingen.","Meine Familie und ich beschlossen, gestern zum Abendessen zu gehen, wir kamen dann nach Hause und wir alle aßen Eis."
"Da war eine Pfütze auf meinen Linoleumböden von meinem Dach undicht, als es regnete.","Da war eine Pfütze auf meinem Teppich von meinem Dach undicht, als es regnete."
Ich half die Turnhalle für den High School Abschlussball zu schmücken. Die Dekorationen kamen es leicht unter Budget.,"Ich habe geholfen, die Turnhalle für den High School Abschlussball zu schmücken."
Ich konnte meinen Kreditkartensaldo diesen Monat auszahlen.,Ich konnte diesen Monat einen Teil meines Kreditkartensaldos auszahlen.
"Ich bin spät auf die Party gekommen, weil mich ein Polizist umgedreht hat.","Ich bin zu spät auf die Party gekommen, weil der Polizist mir ein Ticket gegeben hat."
Mir wurde eine Gefängniszelle mit zwei Männern ganz für mich gegeben.,"Mir wurde eine Gefängniszelle gegeben, um sie zu teilen."
Letzten Abend habe ich Stühle in der Mitte des Ballsaals eingerichtet.,"Mein Arzt rief mich heute an. Er wollte, dass ich reinkomme, damit wir über Optionen diskutieren können, um mich wohlzufühlen, weil ich aufgehört habe, auf Krebsbehandlungen zu reagieren."
Ich sprang in den Pool und machte einen Kanonenball.,Ich sprang in den Pool und machte einen Bauchflop.
Meine Mom hat ihre Lieblingspizza für mein Abendessen bestellt.,Meine Stadt wollte den höchsten Wolkenkratzer der Welt bauen.
"Ich habe Hirsche tief im Wald gejagt und den Schuss verpasst, als ich einen Hirsch sah.","Ich konnte meinen Hund nicht finden, weil er sich versteckte."
Ich habe keine Geschenke von meinen Kollegen zu meinem Geburtstag erhalten.,Ich habe kein Geschenk von meiner Frau zu meinem Geburtstag erhalten.
"Ich überlebte den Unfall, brach mir aber den Arm.","Ich habe den Unfall überlebt, aber meinen Schädel gebrochen."
"Ich begann mein eigenes Bounty Jäger Geschäft von zu Hause aus. Ich fing schnell einen entflohenen Verbrecher, der gerade im Begriff war, einen Massenmord zu begehen, möglicherweise Leben zu retten.",Ich musste zum Arzt gehen und er sagte mir dass ich eine Beinpause hatte.
"Ich gehe morgens duschen, mein Badetuch ist an der Badezimmertür gefangen und in die Hälfte gerissen.",Ich gehe am Morgen duschen und bin unter die Dusche gefallen.
Ich zündete ein Verbraucher-Luftfeuerwerk an und es explodierte in einen kreisförmigen Ausbruch von rotem Licht.,Ich zündete eine Verbraucher-Luftfeuerwache an und es boomte so laute Autoalarme gingen los.
"Ich war auf dem Fasching, als sie meine Gewinnspielkartennummer als den Hauptgewinner verkündeten.","Ich war auf dem Karneval, als sie die Ticketnummer meines Freundes als den Hauptpreisträger ankündigten."
Ich habe meine Brieftasche zu Hause auf der Küchentheke liegen lassen.,Ich habe ein abstraktes Gemälde gemalt und mein Cousin darüber gemalt.
"Ich hatte Angst, wenn ich etwas anfasse, würde ich eine schreckliche Krankheit bekommen.",Ich musste eine Tankstelle auf einem langen Roadtrip benutzen. Ich berührte etwas und fing eine schreckliche Krankheit an.
"Ich wurde gezwungen, Überstunden zu machen. Ich wurde doppelt bezahlt.","Ich musste Überstunden machen, aber ich brauchte noch ein paar Stunden."
Ich saß in meinem Wohnheim und war ganz allein in meinem Zimmer.,Ich saß in meinem Wohnheim und musste für meinen Test lernen.
"Ich beschloss, meine Skateboard-Tricks im Skatepark zu üben.","Ich fühlte mich als ob ich Bewegung brauchte, also fuhr ich mein Fahrrad in den kühlen Morgen hinein."
"Ich fungierte als Emcee für die Veranstaltung. Ich erzählte einen Witz, der das Publikum mit Lachen rollen ließ.","Ich habe die Batterie in meiner Atomuhr gewechselt, sie eingestellt, und jetzt zeigt sie die Informationen wieder an, einschließlich der Zeit, die sie jede Nacht in eine andere Zeitzone zurücksetzt."
"Ich hatte vor, beim großen Spiel zu kämpfen.","Ich beschloss, einen Horrorfilm-Marathon an Halloween zu veranstalten."
"Ich muss Vitamin D nehmen, weil ich einen Mangel habe.","Ich muss Vitamin D nehmen, weil ich Rachitis habe."
"Ich bat meinen besten Freund, sich um meine Wohnung zu kümmern, während ich im Urlaub weg war. Mein Freund rief mich an und sagte mir, dass der Ort eingebrochen war.","Ich bat meinen besten Freund, sich um meine Wohnung zu kümmern, während ich im Urlaub weg war. Mein Freund rief an und sagte mir, meine Wohnung sei niedergebrannt."
Ich war auf einem Konzert.,Mein Freund schickte mir eine E-Mail. Es war ein lustiger Witz über eine republikanische Ente.
"Ich ging in Hellsehergeschäft, aber meine Mutter bestand darauf, dass ich ihr bei der Ankunft simse.","Ich ging in Hellsehergeschäft, aber meine Mutter bestand darauf, dass sie zum Hellsehergeschäft kam."
"Ich trat in eine Schatzsuche meiner Kirche hatte. Die Hinweise waren schwierig, aber Spaß zu lösen.",Ich schmeiße ein Glas Orangensaft zum Frühstück.
Ich fühle mich nervös wegen meines bevorstehenden Besuchs beim Anwalt.,Ich fühle mich nervös wegen meines bevorstehenden Besuchs im Bestattungshaus.
"Ich ging zum Strand, um Wale zu sehen. Ich sah nur ein Paar in der Ferne, aber das Wetter war toll.","Nachdem ich von der Arbeit kam, ging ich in mein Schlafzimmer und erwischte meinen Mann mit einer anderen Frau."
"Ich habe im Diner gegessen, als die Kellnerin meinen Eistee auf ihr Tablett verschüttet hat.","Ich aß im Diner zu Mittag, als die Kellnerin meinen Eistee auf meinen Schoß verschüttete."
Wir aßen auf dem Essensfeld im Einkaufszentrum. Das Essen war halber Preis.,Wir haben auf dem Essensfeld im Einkaufszentrum gegessen.
"Ich schwang mein Auto, um einen Fußgänger auf der Straße zu vermeiden. Ich landete auf einem Briefkasten auf der Seite der Straße.",Ich kaufte ein verurteiltes Gebäude für die Miete. Dort wohnte ein Hausbesetzer.
Ich musste meine Kleidung zu Hause waschen und meine Waschmaschine benutzen.,Ich musste meine Kleidung zu Hause waschen und mein Waschbrett benutzen.
Meine Großmutter gab mir Videospiele zu Weihnachten.,Meine Großmutter gab mir eine Karte zu Weihnachten.
Ich steckte in mein Telefon und bemerkte eine neue E-Mail.,Ich habe mein Handy angeschlossen und es würde nicht aufladen.
Ich musste um Hilfe bei meinem Job von meinem Senior bei der Arbeit bitten.,Ich wuchs von der Pflege auf.
Meine Tante hat mir ihre Möbel in ihrem Testament zurückgelassen.,"Mein Freund bot mir an, mich zu meinem Termin zu fahren."
"Mein Freund gab mir zu Weihnachten einen Pelzmantel, ein weiches Fuchspelz.",Mein Freund gab mir zu Weihnachten einen Pelzmantel.
Ich ging in die makellose öffentliche Toilette im Restaurant.,Ich ging in die schmutzige öffentliche Toilette im Park.
Meine Großmutter und ich spielten Schach und ich verloren das Spiel und sie gewann das Spiel.,"Als ich nach dem Einkaufen wieder zu meinem Auto kam, bemerkte ich, dass ich einen flachen Reifen hatte."
"Ich beschloss, auf eine Diät zu gehen und kaufte eine neue Badezimmerwaage, um sicherzustellen, dass ich das richtige Gewicht bekam, wenn ich mich selbst wog.","Ich entschied mich, auf eine Diät zu gehen und kaufte eine neue Badwaage, um sicherzustellen, dass ich das richtige Gewicht bekommen, wenn ich mich selbst wog. Ich dachte, ich machte große und Gewicht zu verlieren, bis ich herausfand, dass das Gewicht war immer ab."
"Ich konnte sagen, dass mein Hund ein Stück Huhn gegessen hatte.","Ich konnte sagen, dass mein Hund eines meiner Schokoladenstücke gegessen hatte."
Meine Tochter zeigte meinem nervigen Hausgast ihre Haustier Tarantel.,"Unser Lehrer bat uns, Dioramen für unseren Geschichtsunterricht zu machen. Ich arbeitete die ganze Nacht, bekam aber nur ein C."
"Ich habe mein Hemd mit Saft befleckt, und als ich es gewaschen habe, kam der Fleck heraus.","Ich habe mein Hemd mit Saft befleckt, und als ich es gewaschen habe, war noch etwas Flecken übrig."
Ich habe mich diese Woche in der Schule zum Lachen gebracht.,"Ich sah, wie mein Freund mich diese Woche in der Schule zum Lachen brachte."
"Ich half einer Dame, ihre Lebensmittel zum Auto zu tragen. Sie hatte ihr Bein schwer verletzt.",Ich lieh mir den Lippenstift meiner Mutter für den Bildertag in der Schule und ließ ihn versehentlich auf dem Mittagstisch in der Schule liegen.
Ich wurde zur Behandlung von Krebs ins Krankenhaus eingeliefert.,"Ich wurde zur Behandlung von Krebs ins Krankenhaus eingeliefert Der Arzt sagte, ich würde mich einer Operation mit einer 50-50 Überlebenschance unterziehen."
"Ich beschloss, bei American Apparel einkaufen zu gehen. Ich fand ein paar Dinge, die mir gut passen.","Ich war bei einem Kräuterhändler, um Duftkerzen zu kaufen, und entdeckte einen schönen neuen Jasmin-Duft."
"Ein Polizeiauto zog mich an, als ich von einer Bar nach Hause ging.","Ein Polizeiauto zog mich an, als ich von einer Bar aus stürmisch nach Hause fuhr."
"Ich beschloss, meinen Freund im ganzen Land zu besuchen.","Ich brachte meine Tochter zum See, um ihr das Schwimmen beizubringen."
"Ich fing an, Truthähne in meinem Hof zu züchten. Die Truthähne entkamen alle in die Wildnis, ich verlor meine ganze Herde.","Ich bin spät auf die Party gekommen, weil mich ein Polizist umgedreht hat."
Ich kaufte Partyhüte für meine Gäste und kaufte eine Tasche zu viele.,Ich kaufte Partymützen für meine Gäste und kaufte eine Tasche zu wenig.
Gestern besuchte ich die Grabstätte meines Großvaters.,Gestern besuchte ich die Grabstätte meines Sohnes.
"Als mein Spielkostüm nicht passte, änderte meine Mom es.","Als mein Spielkostüm nicht passte, sagte meine Mutter, ich solle eine Diät machen."
Ich habe J.V. an der Zahnhaut gemacht.,Ich bin der Handtuchjunge.
"Ich beantrage einen Pass für eine Reise nach Frankreich. Ich habe ihn zwei Monate, bevor ich ihn brauchte.",Ich habe einen Pass für eine Reise nach Frankreich beantragt.
"Ich gehe zur Bank, weil ich Bargeld abheben muss.","Ich gehe zur Bank, weil meine Schecks hüpfen."
"Als ich nach Hause fuhr, fing es an zu gießen.","Als ich nach Hause ging, fing es an zu gießen."
Ich habe die Männerhöhle meines Freundes gereinigt und seine DVDs in Ordnung gebracht.,"Ich beschloss, einige Figuren für die Oberseite meiner Kommode zu kaufen. Ich erfinde Geschichten über sie, während ich einschlafe."
Ich erhitzte einen Eimer Fastfood-Hühner in der Mikrowelle.,Ich kochte ein rohes Huhn in der Mikrowelle.
"Ich wollte meine Lieblings Cardigan auf der Geburtstagsparty meines Freundes tragen. Meine Schwester hatte sie geliehen und bekam Essen überall drauf, also musste ich sie zuerst waschen.","Ich wollte meine Lieblings Cardigan auf der Geburtstagsparty meines Freundes tragen. Als ich sie aus dem Trockner zog, war sie auf halb so groß geschrumpft."
Ich entschied mich nicht für meinen Parkplatz zu bezahlen. Der Parkwart erwischte mich und Geldstrafen für $15 extra.,Ich entschied mich nicht für meinen Parkplatz zu bezahlen. Der Parkwart erwischte mich und ließ mein Auto abschleppen.
"Ich bin in den Buchladen gegangen und habe ein paar Bücher gekauft, die ich wollte.","Ich gewinne immer, wenn ich Mahjong mit meinen Freundinnen spiele."
Ich hatte mehrere Tomatenpflanzen gepflanzt. Zehn der Pflanzen wuchsen innerhalb eines Monats auf.,Ich muss mir den ersten Absatz des Buches für die Schule bis morgen merken.
Ein Mitarbeiter von mir hat meinen Nachnamen falsch ausgesprochen.,"Ein Mitarbeiter, an dem ich interessiert bin, hat meinen Vornamen vergessen."
Der Dealer gab mir ein Paar am Pokertisch.,Ich ging ins Fitnessstudio und bezahlte meine monatliche Gebühr.
Ich habe für einen Mom- und Pop-Shop gearbeitet.,Ich arbeitete für eine Mom und Pop-Shop. Patronen Shoplifted zu viele Male zu zählen.
"Ich habe eine Tochter, die ihre Ohren durchbohren will.","Ich habe eine Tochter, die ihre Brustwarzen durchbohren will."
"Ich kaufte ein Sandwich von der Tankstelle und fand heraus, dass es nicht genug Mayo darin hatte.","Ich kaufte ein Sandwich von der Tankstelle und fand heraus, dass das Mayo darin ranzig war."
"Als ich meine Rede vor der Klasse vorstellte, knackte meine Stimme.","Als ich meine Rede vor der Klasse vorstellte, vergaß ich die Worte."
"Ich begegnete einem Hacker und entdeckte, dass sie meinen Computer verarschten, alle meine Daten beschädigten, es unbrauchbar machten und mich bei der Arbeit in Schwierigkeiten brachten.","Ich habe einen Hacker getroffen und entdeckt, dass sie meinen Computer verarscht haben, mein ganzes Geld gestohlen und meinen Namen online ruiniert haben."
Ich bin auf mein Trampolin gesprungen und meine Mom hat mich reinkommen lassen.,"Ich beschloss, meinem Bruder im Schlaf den Kopf zu rasieren."
"Ich war Teil eines Teams, das ein Virus, das in einem Gletscher gefunden wurde, entfrostet hat.","Ich war Teil eines Teams, das ein Virus in einem Gletscher auftaute. Es gibt Anzeichen, dass es Menschen infizieren könnte und sehr virulent ist."
"Ich versuchte, eine Gans zum Weihnachtsessen zu fangen und eine fette einzusacken.","Ich beschloss, ein neues Tattoo zu bekommen."
"Ich ging weiter ins heimgesuchte Haus, aber meine Mutter bestand darauf, ihr bei der Ankunft eine SMS zu schreiben.","Ich ging ins heimgesuchte Haus, aber meine Mutter bestand darauf, dass sie zu dem heimgesuchten Haus kam."
"Wir gingen im Urlaub zum Strand. Es regnete die Hälfte der Zeit, als wir dort waren.","Ich wurde gebeten, von der Wache im Einkaufszentrum zu gehen."
"Ich wurde gebeten, von der Wache im Einkaufszentrum zu gehen.","Ich ging in die Apotheke, um Tylenol zu kaufen."
Ich habe mich für die Olympischen Spiele angemeldet und die körperliche Prüfung bestanden.,"Ich beschloss, mein Smartphone zu aktualisieren. Ich habe am Ende zahlen 10% mehr für meinen Vertrag."
"Bevor ich den neuen Horrorfilm sah, für den ich Tickets bekam, erzählte mir mein Freund, was am Anfang passierte, weil sie ihn bereits gesehen hatten.","Bevor ich zu dem neuen Horrorfilm ging, für den ich Tickets bekam, erzählte mir mein Freund, was am Ende passiert, weil sie ihn bereits gesehen haben."
Ich versuchte einen Bart zu wachsen und landete mit einem vollen Ziegenbock.,"Ich versuchte, einen Bart zu wachsen und landete mit ein paar wischigen Haaren."
Ich habe ein Jahr Chip beim AA-Meeting in meiner Kirche.,Ich wartete auf ein Paket. Es kam in zwei Tagen früh.
"Ich bemerkte, dass ich einen Fleck auf meinem Hemd hatte, während ich mir eine Präsentation im Unterricht ansah.","Ich bemerkte, dass ich einen Fleck auf meinem Hemd hatte, während ich eine Präsentation in der Klasse hielt."
"Ich musste eine Rede für den Unterricht halten, mein Lehrer gab mir eine A.",Meine Freunde applaudierten für mich.
"Der Richter war sich einig, dass es ungültig war und warf es raus.",Ich trug die Lebensmittel vom Auto. Einer der Säcke brach und ich musste alle Dosen vom Zement abholen.
Ich verschüttete versehentlich beim Kochen Seifenwasser auf meine Schürze.,Beim Kochen verschüttete ich versehentlich schmutziges Wasser auf meine Schürze.
"Mein Schnurrbart war ungleichmäßig, nachdem ich ihn rasiert hatte.","Ich versuchte, meine eigene Reinigungsmethode zu entwickeln. Die Chemikalien, die ich benutzte, machten meine Augen Wasser."
