baseline,less_pleasant
Olvidé usar mi máscara a prueba de virus cuando visité la tienda de mascotas.,Olvidé usar mi máscara a prueba de virus cuando visité el asilo de ancianos.
"Tuve que dar un discurso para clase, mis amigos aplaudieron por mí.",Tuve que dar un discurso para la clase.
Cociné el desayuno.,Cociné el desayuno y lo vomité después.
Voy a comprar un saxofón nuevo en la tienda de instrumentos.,Voy a comprar un saxofón nuevo en la tienda de instrumentos.
Mi primo me pidió que cantara en su bar mitzvah y acepté.,Mi primo me pidió que cantara en su bar mitzvah y mi voz se rompió en el escenario.
Pasé la tarde jugando a las escondidas e ir a buscar con mi hermano menor. Se rió y tenía una gran sonrisa cada vez que lo atrapé.,Pasé la tarde jugando a las escondidas y fui a buscar con mi hermano menor. Lo agotó lo suficiente como para tomar una siesta sin lloriquear.
Fui a hacer un chequeo de bebé y me puse al día con los registros de inmunización.,Fui a hacer un chequeo de bebé.
Fui al salón de baile para estirarme. Fui al salón de baile para bailar con mi amigo.,"Fui al salón de baile a estirarme, fui al salón a bailar con alguien."
Hice mi propio café esta mañana.,He hecho mi propio café esta mañana.
Decidí incubar mis propios huevos en casa. Mantuve caliente la incubadora y todos mis huevos incubaron.,Decidí eclosionar mis propios huevos en casa.
"Cuando saqué todas las partes para construir mi nuevo escritorio, me di cuenta de que tenía partes adicionales.","Cuando saqué todas las partes para construir mi nuevo escritorio, me di cuenta de que me faltaban algunas partes."
Hice una cama nueva para mi dachshund con una maleta que reciclé. La cama interesante se presentó en la primera página de una revista del club Kennel.,Hice una cama nueva para mi dachshund con una maleta que reciclé. La cama era el único lugar donde el perro dormía.
Juego con mi gato haciendo que persiga un láser rojo en el suelo.,Juego con mi gato haciendo que persiga un láser rojo en el suelo. Juego con mi gato haciendo que persiga un láser rojo en el suelo. A veces se topa con algo y lo derriba.
Hablé con el grupo y nos pusimos de acuerdo en una fecha límite.,"Hablé con el grupo, y no pudimos estar de acuerdo en nada."
El domingo pasado fui a la playa y olvidé mi protector solar.,"El domingo pasado fui a la playa, olvidé mi protector solar y ahora estoy quemada."
Estaba haciendo mis impuestos.,"Estaba haciendo mis impuestos, me confundí y tuve que contratar a alguien para ayudar."
